Date,Time,TDS,Turbidity,Temperature
2024-10-23T20:23:30, 414, 297,16.87,
2024-10-23T20:23:36, 414, 297,16.87,
2024-10-23T20:23:42, 415, 297,16.87,
2024-10-23T20:23:48, 416, 297,16.87,
2024-10-23T20:23:54, 416, 297,16.87,
2024-10-23T20:24:00, 416, 297,17.56,
2024-10-23T20:24:06, 416, 297,16.87,
2024-10-23T20:24:12, 415, 297,16.94,
2024-10-23T20:24:18, 415, 297,16.87,
2024-10-23T20:24:24, 414, 296,16.87,
2024-10-23T20:24:30, 413, 296,17.19,
2024-10-23T20:24:36, 413, 296,16.94,
2024-10-23T20:24:42, 413, 296,16.87,
2024-10-23T20:24:48, 413, 296,16.87,
2024-10-23T20:24:54, 414, 296,16.87,
2024-10-23T20:25:00, 414, 297,16.87,
2024-10-23T20:25:06, 414, 297,16.87,
2024-10-23T20:25:12, 414, 297,16.87,
2024-10-23T20:25:18, 414, 297,17.0,
2024-10-23T20:25:24, 414, 297,16.87,
2024-10-23T20:25:30, 413, 296,16.87,
2024-10-23T20:25:36, 414, 297,16.87,
2024-10-23T20:25:42, 414, 296,17.31,
2024-10-23T20:25:48, 413, 296,16.87,
2024-10-23T20:25:54, 413, 296,16.87,
2024-10-23T20:26:00, 413, 296,16.87,
2024-10-23T20:26:06, 411, 296,16.87,
2024-10-23T20:26:12, 411, 296,16.87,
2024-10-23T20:26:18, 410, 294,17.31,
2024-10-23T20:26:24, 410, 295,16.87,
2024-10-23T20:26:30, 409, 293,16.87,
2024-10-23T20:26:36, 409, 295,16.87,
2024-10-23T20:26:42, 409, 293,16.87,
2024-10-23T20:26:48, 409, 293,16.87,
2024-10-23T20:26:54, 409, 295,16.87,
2024-10-23T20:27:00, 411, 294,16.87,
2024-10-23T20:27:06, 412, 296,16.87,
2024-10-23T20:27:12, 413, 296,16.87,
2024-10-23T20:27:18, 413, 296,16.87,
2024-10-23T20:27:24, 411, 296,17.44,
2024-10-23T20:27:30, 411, 294,16.87,
2024-10-23T20:27:36, 412, 296,16.87,
2024-10-23T20:27:42, 411, 294,16.87,
2024-10-23T20:27:48, 410, 294,16.87,
2024-10-23T20:27:54, 410, 294,16.87,
2024-10-23T20:28:00, 416, 298,16.94,
2024-10-23T20:28:06, 419, 299,16.94,
2024-10-23T20:28:12, 419, 299,16.94,
2024-10-23T20:28:18, 419, 298,17.0,
2024-10-23T20:28:24, 419, 298,16.94,
2024-10-23T20:28:30, 418, 298,16.94,
2024-10-23T20:28:36, 417, 298,17.0,
2024-10-23T20:28:42, 416, 297,16.94,
2024-10-23T20:28:48, 414, 296,16.87,
2024-10-23T20:28:54, 415, 297,17.44,
2024-10-23T20:29:00, 415, 297,16.87,
2024-10-23T20:29:06, 415, 297,16.87,
2024-10-23T20:29:12, 415, 297,16.87,
2024-10-23T20:29:18, 426, 302,16.87,
2024-10-23T20:29:24, 426, 301,16.87,
2024-10-23T20:29:30, 424, 300,16.94,
2024-10-23T20:29:36, 422, 299,16.87,
2024-10-23T20:29:42, 420, 299,16.94,
2024-10-23T20:29:48, 418, 298,16.87,
2024-10-23T20:29:54, 418, 298,17.25,
2024-10-23T20:30:00, 417, 298,16.94,
2024-10-23T20:30:06, 417, 298,16.94,
2024-10-23T20:30:12, 416, 298,16.87,
2024-10-23T20:30:18, 416, 298,16.87,
2024-10-23T20:30:24, 416, 298,16.87,
2024-10-23T20:30:30, 416, 298,16.87,
2024-10-23T20:30:36, 416, 298,16.94,
2024-10-23T20:30:42, 416, 298,16.87,
2024-10-23T20:30:48, 416, 298,16.94,
2024-10-23T20:30:54, 417, 298,16.94,
2024-10-23T20:31:00, 417, 298,16.87,
2024-10-23T20:31:06, 416, 298,16.87,
2024-10-23T20:31:12, 417, 298,16.87,
2024-10-23T20:31:18, 417, 298,16.87,
2024-10-23T20:31:24, 416, 298,17.19,
2024-10-23T20:31:30, 416, 298,16.94,
2024-10-23T20:31:36, 416, 298,17.06,
2024-10-23T20:31:42, 416, 298,16.94,
2024-10-23T20:31:48, 416, 298,16.94,
2024-10-23T20:31:54, 416, 299,16.94,
2024-10-23T20:32:00, 417, 298,16.94,
2024-10-23T20:32:06, 417, 298,16.94,
2024-10-23T20:32:12, 416, 298,17.31,
2024-10-23T20:32:18, 416, 298,16.94,
2024-10-23T20:32:24, 416, 298,16.94,
2024-10-23T20:32:30, 415, 298,17.25,
2024-10-23T20:32:36, 415, 298,16.94,
2024-10-23T20:32:42, 415, 298,16.94,
2024-10-23T20:32:48, 415, 298,16.94,
2024-10-23T20:32:54, 415, 298,16.94,
2024-10-23T20:33:00, 414, 298,16.94,
2024-10-23T20:33:06, 415, 299,17.31,
2024-10-23T20:33:12, 416, 299,16.94,
2024-10-23T20:33:18, 415, 299,16.94,
2024-10-23T20:33:24, 415, 299,17.25,
2024-10-23T20:33:30, 415, 298,16.94,
2024-10-23T20:33:36, 415, 298,17.12,
2024-10-23T20:33:42, 415, 298,16.94,
2024-10-23T20:33:48, 415, 298,16.94,
2024-10-23T20:33:54, 416, 298,16.94,
2024-10-23T20:34:00, 416, 298,17.44,
2024-10-23T20:34:06, 415, 298,16.94,
2024-10-23T20:34:12, 415, 299,16.94,
2024-10-23T20:34:18, 415, 299,16.87,
2024-10-23T20:34:24, 415, 299,16.94,
2024-10-23T20:34:30, 416, 299,16.94,
2024-10-23T20:34:36, 416, 299,16.87,
2024-10-23T20:34:42, 416, 299,16.94,
2024-10-23T20:34:48, 416, 299,17.31,
2024-10-23T20:34:54, 415, 299,17.44,
2024-10-23T20:35:00, 415, 299,16.94,
2024-10-23T20:35:06, 415, 299,17.0,
2024-10-23T20:35:12, 414, 298,17.0,
2024-10-23T20:35:18, 415, 298,17.0,
2024-10-23T20:35:24, 415, 298,17.44,
2024-10-23T20:35:30, 415, 298,16.87,
2024-10-23T20:35:36, 415, 298,16.87,
2024-10-23T20:35:42, 414, 298,17.0,
2024-10-23T20:35:48, 415, 298,16.94,
2024-10-23T20:35:54, 414, 298,16.94,
2024-10-23T20:36:00, 414, 298,16.87,
2024-10-23T20:36:06, 414, 298,16.94,
2024-10-23T20:36:12, 414, 298,16.94,
2024-10-23T20:36:18, 414, 298,17.19,
2024-10-23T20:36:24, 414, 298,16.87,
2024-10-23T20:36:30, 414, 298,16.94,
2024-10-23T20:36:36, 414, 298,17.19,
2024-10-23T20:36:42, 414, 298,16.87,
2024-10-23T20:36:48, 415, 298,16.94,
2024-10-23T20:36:54, 415, 298,16.94,
2024-10-23T20:37:00, 416, 298,16.94,
2024-10-23T20:37:06, 415, 299,16.94,
2024-10-23T20:37:12, 416, 299,17.25,
2024-10-23T20:37:18, 417, 299,16.87,
2024-10-23T20:37:24, 417, 299,17.44,
2024-10-23T20:37:30, 418, 300,16.94,
2024-10-23T20:37:36, 419, 300,17.31,
2024-10-23T20:37:42, 419, 300,16.94,
2024-10-23T20:37:48, 420, 301,16.87,
2024-10-23T20:37:54, 421, 301,16.94,
2024-10-23T20:38:00, 422, 301,16.94,
2024-10-23T20:38:06, 423, 302,16.94,
2024-10-23T20:38:12, 423, 301,16.94,
2024-10-23T20:38:18, 423, 301,16.94,
2024-10-23T20:38:24, 423, 301,16.94,
2024-10-23T20:38:30, 423, 301,16.94,
2024-10-23T20:38:36, 423, 302,17.56,
2024-10-23T20:38:42, 424, 302,16.94,
2024-10-23T20:38:48, 425, 302,17.12,
2024-10-23T20:38:54, 425, 302,16.87,
2024-10-23T20:39:00, 426, 303,16.87,
2024-10-23T20:39:06, 426, 303,16.94,
2024-10-23T20:39:12, 426, 303,16.94,
2024-10-23T20:39:18, 432, 305,16.94,
2024-10-23T20:39:24, 434, 305,16.94,
2024-10-23T20:39:30, 434, 305,17.31,
2024-10-23T20:39:36, 433, 305,17.44,
2024-10-23T20:39:42, 432, 304,16.87,
2024-10-23T20:39:48, 432, 304,17.56,
2024-10-23T20:39:54, 431, 305,16.94,
2024-10-23T20:40:00, 432, 305,16.94,
2024-10-23T20:40:06, 433, 305,16.94,
2024-10-23T20:40:12, 436, 306,17.19,
2024-10-23T20:40:18, 436, 306,16.94,
2024-10-23T20:40:24, 437, 306,16.94,
2024-10-23T20:40:30, 437, 306,16.87,
2024-10-23T20:40:36, 436, 306,16.94,
2024-10-23T20:40:42, 434, 305,16.94,
2024-10-23T20:40:48, 433, 305,16.94,
2024-10-23T20:40:54, 436, 306,16.94,
2024-10-23T20:41:00, 436, 306,16.94,
2024-10-23T20:41:06, 435, 305,16.94,
2024-10-23T20:41:12, 435, 306,16.94,
2024-10-23T20:41:18, 434, 305,17.0,
2024-10-23T20:41:24, 434, 305,16.94,
2024-10-23T20:41:30, 433, 305,16.94,
2024-10-23T20:41:36, 432, 305,16.94,
2024-10-23T20:41:42, 432, 305,16.87,
2024-10-23T20:41:48, 432, 305,16.94,
2024-10-23T20:41:54, 433, 305,17.56,
2024-10-23T20:42:00, 436, 306,16.87,
2024-10-23T20:42:06, 437, 306,16.94,
2024-10-23T20:42:12, 437, 306,16.94,
2024-10-23T20:42:18, 436, 306,16.94,
2024-10-23T20:42:24, 437, 306,16.87,
2024-10-23T20:42:30, 436, 306,16.87,
2024-10-23T20:42:36, 433, 305,16.87,
2024-10-23T20:42:42, 434, 306,16.87,
2024-10-23T20:42:48, 432, 305,16.87,
2024-10-23T20:42:54, 430, 304,17.44,
2024-10-23T20:43:00, 428, 303,16.87,
2024-10-23T20:43:06, 426, 303,16.87,
2024-10-23T20:43:12, 423, 302,16.87,
2024-10-23T20:43:18, 434, 307,17.12,
2024-10-23T20:43:24, 443, 309,16.87,
2024-10-23T20:43:30, 446, 309,16.87,
2024-10-23T20:43:36, 445, 308,16.87,
2024-10-23T20:43:42, 443, 308,17.12,
2024-10-23T20:43:48, 441, 307,16.87,
2024-10-23T20:43:54, 439, 306,16.87,
2024-10-23T20:44:00, 437, 306,16.87,
2024-10-23T20:44:06, 434, 305,17.06,
2024-10-23T20:44:12, 432, 305,16.87,
2024-10-23T20:44:18, 431, 304,16.87,
2024-10-23T20:44:24, 431, 304,17.31,
2024-10-23T20:44:30, 429, 304,16.87,
2024-10-23T20:44:36, 429, 303,16.87,
2024-10-23T20:44:42, 427, 303,16.87,
2024-10-23T20:44:48, 426, 303,16.87,
2024-10-23T20:44:54, 425, 302,16.87,
2024-10-23T20:45:00, 424, 302,17.44,
2024-10-23T20:45:06, 423, 302,16.87,
2024-10-23T20:45:12, 423, 302,16.87,
2024-10-23T20:45:18, 422, 301,16.87,
2024-10-23T20:45:24, 422, 301,16.87,
2024-10-23T20:45:30, 421, 301,16.87,
2024-10-23T20:45:36, 421, 301,16.87,
2024-10-23T20:45:42, 421, 301,16.87,
2024-10-23T20:45:48, 420, 301,16.87,
2024-10-23T20:45:54, 419, 300,16.94,
2024-10-23T20:46:00, 418, 300,16.87,
2024-10-23T20:46:06, 418, 300,16.87,
2024-10-23T20:46:12, 417, 300,16.94,
2024-10-23T20:46:18, 417, 300,16.87,
2024-10-23T20:46:24, 417, 300,16.94,
2024-10-23T20:46:30, 417, 300,16.94,
2024-10-23T20:46:36, 417, 300,16.94,
2024-10-23T20:46:42, 417, 300,16.94,
2024-10-23T20:46:48, 418, 300,16.94,
2024-10-23T20:46:54, 417, 300,16.94,
2024-10-23T20:47:00, 418, 301,16.94,
2024-10-23T20:47:06, 418, 300,17.19,
2024-10-23T20:47:12, 418, 300,16.87,
2024-10-23T20:47:18, 418, 300,16.94,
2024-10-23T20:47:24, 418, 300,16.94,
2024-10-23T20:47:30, 417, 300,16.94,
2024-10-23T20:47:36, 417, 300,17.56,
2024-10-23T20:47:42, 419, 301,16.94,
2024-10-23T20:47:48, 420, 301,16.94,
2024-10-23T20:47:54, 502, 313,17.25,
2024-10-23T20:48:00, 453, 310,17.44,
2024-10-23T20:48:06, 440, 308,16.94,
2024-10-23T20:48:12, 433, 306,17.69,
2024-10-23T20:48:18, 428, 305,16.94,
2024-10-23T20:48:24, 425, 303,16.94,
2024-10-23T20:48:30, 422, 302,17.31,
2024-10-23T20:48:36, 420, 302,16.94,
2024-10-23T20:48:42, 419, 301,16.94,
2024-10-23T20:48:48, 417, 300,16.94,
2024-10-23T20:48:54, 417, 300,16.94,
2024-10-23T20:49:00, 416, 300,16.94,
2024-10-23T20:49:06, 415, 300,17.25,
2024-10-23T20:49:12, 414, 299,16.94,
2024-10-23T20:49:18, 414, 299,17.44,
2024-10-23T20:49:24, 414, 299,16.94,
2024-10-23T20:49:30, 414, 300,16.94,
2024-10-23T20:49:36, 414, 299,17.0,
2024-10-23T20:49:42, 415, 299,17.0,
2024-10-23T20:49:48, 414, 299,17.0,
2024-10-23T20:49:54, 414, 299,16.94,
2024-10-23T20:50:00, 414, 299,17.0,
2024-10-23T20:50:06, 414, 299,16.94,
2024-10-23T20:50:12, 413, 299,17.0,
2024-10-23T20:50:18, 413, 299,16.94,
2024-10-23T20:50:24, 413, 299,17.0,
2024-10-23T20:50:30, 413, 299,16.94,
2024-10-23T20:50:36, 413, 299,16.94,
2024-10-23T20:50:42, 413, 299,16.94,
2024-10-23T20:50:48, 413, 299,16.94,
2024-10-23T20:50:54, 413, 299,16.94,
2024-10-23T20:51:00, 413, 299,16.94,
2024-10-23T20:51:06, 413, 299,16.94,
2024-10-23T20:51:12, 413, 299,17.0,
2024-10-23T20:51:18, 413, 299,16.94,
2024-10-23T20:51:24, 413, 299,17.62,
2024-10-23T20:51:30, 414, 299,16.94,
2024-10-23T20:51:36, 414, 299,16.94,
2024-10-23T20:51:42, 414, 299,16.94,
2024-10-23T20:51:48, 414, 299,16.94,
2024-10-23T20:51:54, 414, 299,16.94,
2024-10-23T20:52:00, 414, 299,16.94,
2024-10-23T20:52:06, 414, 299,16.94,
2024-10-23T20:52:12, 414, 299,16.94,
2024-10-23T20:52:18, 414, 299,16.94,
2024-10-23T20:52:24, 414, 299,16.94,
2024-10-23T20:52:30, 415, 299,16.94,
2024-10-23T20:52:36, 415, 299,17.0,
2024-10-23T20:52:42, 415, 300,16.94,
2024-10-23T20:52:48, 415, 300,16.94,
2024-10-23T20:52:54, 415, 300,17.0,
2024-10-23T20:53:00, 416, 300,16.94,
2024-10-23T20:53:06, 416, 300,17.0,
2024-10-23T20:53:12, 416, 300,16.94,
2024-10-23T20:53:18, 416, 300,17.0,
2024-10-23T20:53:24, 416, 300,16.94,
2024-10-23T20:53:30, 416, 300,17.0,
2024-10-23T20:53:36, 416, 300,16.94,
2024-10-23T20:53:42, 416, 300,17.0,
2024-10-23T20:53:48, 416, 300,17.0,
2024-10-23T20:53:54, 416, 300,16.94,
2024-10-23T20:54:00, 416, 300,17.0,
2024-10-23T20:54:06, 416, 300,16.94,
2024-10-23T20:54:12, 417, 300,16.94,
2024-10-23T20:54:18, 417, 300,16.94,
2024-10-23T20:54:24, 417, 300,17.0,
2024-10-23T20:54:30, 416, 300,16.94,
2024-10-23T20:54:36, 417, 300,16.94,
2024-10-23T20:54:42, 417, 300,16.94,
2024-10-23T20:54:48, 417, 300,17.0,
2024-10-23T20:54:54, 417, 300,16.94,
2024-10-23T20:55:00, 417, 300,16.94,
2024-10-23T20:55:06, 417, 300,16.94,
2024-10-23T20:55:12, 417, 300,16.94,
2024-10-23T20:55:18, 417, 300,16.94,
2024-10-23T20:55:24, 418, 300,16.94,
2024-10-23T20:55:30, 418, 300,16.94,
2024-10-23T20:55:36, 418, 300,16.94,
2024-10-23T20:55:42, 418, 300,16.94,
2024-10-23T20:55:48, 418, 300,16.94,
2024-10-23T20:55:54, 418, 300,16.94,
2024-10-23T20:56:00, 418, 300,16.94,
2024-10-23T20:56:06, 418, 300,16.94,
2024-10-23T20:56:12, 418, 300,16.94,
2024-10-23T20:56:18, 417, 298,16.94,
2024-10-23T20:56:24, 418, 301,17.0,
2024-10-23T20:56:30, 418, 300,17.0,
2024-10-23T20:56:36, 419, 301,16.94,
2024-10-23T20:56:42, 419, 300,16.94,
2024-10-23T20:56:48, 420, 301,16.94,
2024-10-23T20:56:54, 421, 301,16.94,
2024-10-23T20:57:00, 421, 301,16.94,
2024-10-23T20:57:06, 421, 301,16.94,
2024-10-23T20:57:12, 421, 301,16.94,
2024-10-23T20:57:18, 421, 301,17.0,
2024-10-23T20:57:24, 422, 301,16.94,
2024-10-23T20:57:31, 422, 301,16.94,
2024-10-23T20:57:37, 422, 301,17.0,
2024-10-23T20:57:43, 422, 301,16.94,
2024-10-23T20:57:49, 422, 301,16.94,
2024-10-23T20:57:55, 422, 301,17.0,
2024-10-23T20:58:01, 422, 301,16.94,
2024-10-23T20:58:07, 422, 301,16.94,
2024-10-23T20:58:13, 422, 301,16.94,
2024-10-23T20:58:19, 422, 301,16.94,
